timestep,demand,tank_level,pressure
0,51.52,58.48,23.39
1,51.03,67.44999999999999,26.98
2,54.99,72.45999999999998,28.98
3,59.75,72.70999999999998,29.08
4,57.67,75.03999999999998,30.02
5,62.26,72.77999999999997,29.11
6,73.14,59.63999999999997,23.86
7,75.23,44.40999999999997,17.76
8,72.92,31.489999999999966,12.6
9,73.27,18.21999999999997,7.29
10,64.55,33.66999999999997,13.47
11,58.15,35.519999999999975,14.21
12,55.19,40.329999999999984,16.13
13,45.85,54.47999999999998,21.79
14,45.98,68.5,27.4
15,51.52,76.97999999999999,30.79
16,54.47,82.50999999999999,33.0
17,64.03,68.47999999999999,27.39
18,65.28,63.19999999999999,25.28
19,65.93,57.26999999999998,22.91
20,73.07,44.19999999999999,17.68
21,63.7,40.499999999999986,16.2
22,59.51,40.98999999999999,16.4
23,51.02,49.96999999999998,19.99
24,48.4,61.56999999999997,24.63
25,51.78,69.78999999999996,27.92
26,49.59,80.19999999999996,32.08
27,56.3,73.89999999999996,29.56
28,56.57,77.32999999999998,30.93
29,62.09,75.23999999999998,30.1
30,66.6,68.63999999999999,27.46
31,78.48,50.15999999999998,20.06
32,74.29,35.869999999999976,14.35
33,68.47,27.399999999999977,10.96
34,68.4,38.99999999999997,15.6
35,55.88,43.11999999999997,17.25
36,55.09,48.02999999999997,19.21
37,45.71,62.31999999999997,24.93
38,47.17,75.14999999999996,30.06
39,53.79,81.35999999999999,32.54
40,59.73,71.63,28.65
41,63.6,68.03,27.21
42,67.66,60.370000000000005,24.15
43,69.27,51.10000000000001,20.44
44,64.24,46.860000000000014,18.74
45,62.22,44.640000000000015,17.86
46,57.93,46.710000000000015,18.68
47,58.47,48.24000000000001,19.3
48,51.06,57.18000000000001,22.87
49,46.15,71.03,28.41
50,54.02,77.00999999999999,30.8
51,54.02,82.98999999999998,33.2
52,56.34,76.64999999999998,30.66
53,64.8,71.84999999999998,28.74
54,71.5,60.349999999999966,24.14
55,75.72,44.62999999999997,17.85
56,71.81,32.819999999999965,13.13
57,70.71,22.10999999999997,8.84
58,66.93,35.179999999999964,14.07
59,62.47,32.709999999999965,13.08
60,53.02,39.68999999999996,15.88
61,51.04,48.64999999999997,19.46
62,47.84,60.809999999999974,24.32
63,49.61,71.19999999999997,28.48
64,59.95,71.24999999999999,28.5
65,67.16,64.09,25.64
66,67.79,56.3,22.52
67,73.18,43.11999999999999,17.25
68,69.76,33.359999999999985,13.34
69,62.44,30.919999999999987,12.37
70,60.39,30.529999999999987,12.21
71,59.91,30.61999999999999,12.25
72,49.93,40.68999999999999,16.28
73,56.14,44.55,17.82
74,45.19,59.36,23.74
75,57.64,61.72,24.69
