timestep,demand,tank_level,pressure
0,51.52,18.479999999999997,7.39
1,51.03,7.449999999999996,2.98
2,54.99,0.0,0.0
3,59.75,0.0,0.0
4,57.67,0.0,0.0
5,62.26,0.0,0.0
6,73.14,0.0,0.0
7,75.23,0.0,0.0
8,72.92,0.0,0.0
9,73.27,0.0,0.0
10,64.55,0.0,0.0
11,58.15,0.0,0.0
12,55.19,0.0,0.0
13,45.85,0.0,0.0
14,45.98,0.0,0.0
15,51.52,0.0,0.0
16,54.47,0.0,0.0
17,64.03,0.0,0.0
18,65.28,0.0,0.0
19,65.93,0.0,0.0
20,73.07,0.0,0.0
21,63.7,0.0,0.0
22,59.51,0.0,0.0
23,51.02,0.0,0.0
24,48.4,0.0,0.0
25,51.78,0.0,0.0
26,49.59,0.0,0.0
27,56.3,0.0,0.0
28,56.57,0.0,0.0
29,62.09,0.0,0.0
30,66.6,0.0,0.0
31,78.48,0.0,0.0
32,74.29,0.0,0.0
33,68.47,0.0,0.0
34,68.4,0.0,0.0
35,55.88,0.0,0.0
36,55.09,0.0,0.0
37,45.71,0.0,0.0
38,47.17,0.0,0.0
39,53.79,0.0,0.0
40,59.73,0.0,0.0
41,63.6,0.0,0.0
42,67.66,0.0,0.0
43,69.27,0.0,0.0
44,64.24,0.0,0.0
45,62.22,0.0,0.0
46,57.93,0.0,0.0
47,58.47,0.0,0.0
48,51.06,0.0,0.0
49,46.15,0.0,0.0
50,54.02,0.0,0.0
51,54.02,0.0,0.0
52,56.34,0.0,0.0
53,64.8,0.0,0.0
54,71.5,0.0,0.0
55,75.72,0.0,0.0
56,71.81,0.0,0.0
57,70.71,0.0,0.0
58,66.93,0.0,0.0
59,62.47,0.0,0.0
60,53.02,0.0,0.0
61,51.04,0.0,0.0
62,47.84,0.0,0.0
63,49.61,0.0,0.0
64,59.95,0.0,0.0
65,67.16,0.0,0.0
66,67.79,0.0,0.0
67,73.18,0.0,0.0
68,69.76,0.0,0.0
69,62.44,0.0,0.0
70,60.39,0.0,0.0
71,59.91,0.0,0.0
